## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-3_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-3_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 07:07:23 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
4038797613	3994288087		1884068779	1241050599	752765416	116403293	0	0	0	58739	9170889	986880	0.006364	0.993636		0.471691	0.310706	0.18846	0.029142	0.782397	0.773775	0	0.698002	0.355471	0.120872	2.211641			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.079464
1	0.200695
2	0.460901
3	0.699416
4	0.889274
5	1.023736
6	1.141138
7	1.234227
8	1.29758
9	1.319542
10	1.339997
11	1.357995
12	1.382962
13	1.399299
14	1.412486
15	1.419143
16	1.41272
17	1.42074
18	1.431735
19	1.420967
20	1.407249
21	1.392097
22	1.391164
23	1.412392
24	1.422672
25	1.422771
26	1.438459
27	1.422678
28	1.409134
29	1.394688
30	1.356448
31	1.339138
32	1.329333
33	1.324982
34	1.305044
35	1.287457
36	1.274894
37	1.276448
38	1.271986
39	1.255435
40	1.248974
41	1.228148
42	1.212202
43	1.201847
44	1.194166
45	1.188774
46	1.177829
47	1.166391
48	1.149432
49	1.143009
50	1.142559
51	1.155272
52	1.132597
53	1.102829
54	1.07327
55	1.052713
56	1.037417
57	1.027356
58	1.015083
59	0.997886
60	0.978825
61	0.967744
62	0.961389
63	0.961925
64	0.946091
65	0.931876
66	0.917638
67	0.911748
68	0.906164
69	0.887144
70	0.872253
71	0.857848
72	0.838322
73	0.824196
74	0.820083
75	0.818026
76	0.80685
77	0.792125
78	0.779701
79	0.777974
80	0.761519
81	0.734297
82	0.708415
83	0.69082
84	0.682093
85	0.673716
86	0.65314
87	0.632376
88	0.621932
89	0.610542
90	0.579052
91	0.532982
92	0.489778
93	0.448591
94	0.407087
95	0.353104
96	0.297323
97	0.242565
98	0.169254
99	0.096616
100	0.048983

