## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-17_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-17_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 02:42:47 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9447369431	9359236182		4264601773	3010217931	1775417568	308998910	0	0	0	135704	21627685	1647582	0.006235	0.993765		0.455657	0.321631	0.189697	0.033015	0.777288	0.770037	0	0.589762	0.384437	0.161077	2.21668			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.079263
1	0.185389
2	0.408829
3	0.619463
4	0.793164
5	0.931028
6	1.055635
7	1.160559
8	1.230336
9	1.262732
10	1.288101
11	1.317027
12	1.340206
13	1.350688
14	1.373409
15	1.383795
16	1.381791
17	1.379359
18	1.381704
19	1.382144
20	1.370351
21	1.356249
22	1.364902
23	1.383424
24	1.386804
25	1.388802
26	1.396849
27	1.382674
28	1.368703
29	1.350811
30	1.31946
31	1.300742
32	1.297555
33	1.305769
34	1.295455
35	1.287247
36	1.280815
37	1.272914
38	1.261977
39	1.24952
40	1.242716
41	1.227915
42	1.208974
43	1.204597
44	1.194205
45	1.187678
46	1.171557
47	1.159733
48	1.15143
49	1.149753
50	1.144091
51	1.14007
52	1.124118
53	1.098323
54	1.073947
55	1.057662
56	1.040043
57	1.028921
58	1.015815
59	1.006228
60	0.994261
61	0.984539
62	0.977288
63	0.974857
64	0.96033
65	0.953741
66	0.949268
67	0.940136
68	0.931133
69	0.914554
70	0.899287
71	0.882978
72	0.87326
73	0.864453
74	0.858349
75	0.853369
76	0.842207
77	0.836426
78	0.830519
79	0.829281
80	0.816278
81	0.788416
82	0.765995
83	0.749179
84	0.735956
85	0.72529
86	0.7088
87	0.688132
88	0.678003
89	0.661543
90	0.634267
91	0.592542
92	0.548302
93	0.504334
94	0.457025
95	0.399607
96	0.338625
97	0.276681
98	0.193132
99	0.106784
100	0.047788

