## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-4_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-4_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 07:15:53 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
7292628144	7228673817		3271009004	2309651677	1398810590	249202546	0	0	0	102438	16636697	1168903	0.00612	0.99388		0.452505	0.319513	0.193509	0.034474	0.772017	0.765247	0	0.599495	0.374677	0.168035	1.929556			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.077983
1	0.188719
2	0.412056
3	0.622085
4	0.799985
5	0.94656
6	1.077347
7	1.175728
8	1.24581
9	1.283779
10	1.304367
11	1.326691
12	1.357064
13	1.360342
14	1.37377
15	1.386409
16	1.387447
17	1.388006
18	1.393501
19	1.39109
20	1.376408
21	1.358271
22	1.361368
23	1.383964
24	1.390279
25	1.39252
26	1.399914
27	1.383611
28	1.372338
29	1.359047
30	1.328139
31	1.314289
32	1.308385
33	1.30492
34	1.282585
35	1.26727
36	1.255898
37	1.248852
38	1.239247
39	1.229075
40	1.224658
41	1.212261
42	1.1964
43	1.192281
44	1.183317
45	1.174561
46	1.15793
47	1.149047
48	1.147961
49	1.149954
50	1.148803
51	1.142393
52	1.116723
53	1.085586
54	1.05819
55	1.043905
56	1.031837
57	1.02416
58	1.008755
59	0.995322
60	0.98539
61	0.976863
62	0.970906
63	0.965488
64	0.949277
65	0.941744
66	0.934328
67	0.928495
68	0.920157
69	0.904413
70	0.894153
71	0.879672
72	0.865629
73	0.85414
74	0.846834
75	0.842575
76	0.834634
77	0.827951
78	0.826903
79	0.83515
80	0.82298
81	0.796656
82	0.771792
83	0.758616
84	0.747705
85	0.739152
86	0.723632
87	0.705787
88	0.697621
89	0.678905
90	0.648988
91	0.606642
92	0.559124
93	0.514346
94	0.466822
95	0.408613
96	0.346097
97	0.282889
98	0.199711
99	0.111246
100	0.050739

