## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-1_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-1_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 03:27:16 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9847968553	9750032186		4236733839	2976178857	2230094763	307024727	0	0	0	140488	21249844	1947214	0.006568	0.993432		0.434535	0.305248	0.228727	0.03149	0.739783	0.732426	0	0.707491	0.314548	0.129912	2.038919			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.071062
1	0.181636
2	0.425
3	0.645924
4	0.825653
5	0.958812
6	1.062019
7	1.147674
8	1.215075
9	1.242851
10	1.272963
11	1.302464
12	1.332245
13	1.361746
14	1.376011
15	1.385541
16	1.383152
17	1.389881
18	1.398694
19	1.392864
20	1.383655
21	1.375703
22	1.385979
23	1.412109
24	1.424234
25	1.418979
26	1.426234
27	1.400993
28	1.388204
29	1.378502
30	1.349989
31	1.33938
32	1.331917
33	1.334663
34	1.31711
35	1.302466
36	1.288618
37	1.288797
38	1.281124
39	1.265749
40	1.256211
41	1.239079
42	1.22254
43	1.207662
44	1.190971
45	1.18599
46	1.173867
47	1.164841
48	1.148803
49	1.147966
50	1.148613
51	1.158258
52	1.134242
53	1.108578
54	1.086654
55	1.061223
56	1.040251
57	1.033204
58	1.022931
59	1.00634
60	0.989901
61	0.983067
62	0.980185
63	0.983942
64	0.966916
65	0.958128
66	0.949271
67	0.940223
68	0.929696
69	0.911907
70	0.898091
71	0.878824
72	0.859885
73	0.848154
74	0.844486
75	0.839156
76	0.830913
77	0.816242
78	0.804657
79	0.804209
80	0.788968
81	0.761251
82	0.733626
83	0.714077
84	0.700345
85	0.691582
86	0.67057
87	0.648774
88	0.642784
89	0.633926
90	0.60372
91	0.561773
92	0.519477
93	0.478558
94	0.436086
95	0.377813
96	0.317136
97	0.258703
98	0.186931
99	0.112082
100	0.057231

