## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-2_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-2_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 06:31:41 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9189411589	9093799408		4419944515	2796911200	1587193205	289750488	0	0	0	131944	21713896	1667770	0.00604	0.99396		0.486039	0.307562	0.174536	0.031862	0.793602	0.785345	0	0.592018	0.401089	0.152181	2.262577			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.074357
1	0.193565
2	0.436986
3	0.663591
4	0.855407
5	1.013566
6	1.14923
7	1.233599
8	1.28826
9	1.307693
10	1.322982
11	1.342173
12	1.370955
13	1.383075
14	1.39251
15	1.401672
16	1.398522
17	1.402785
18	1.408382
19	1.404986
20	1.393407
21	1.382872
22	1.38929
23	1.408071
24	1.408353
25	1.40143
26	1.410857
27	1.399481
28	1.386921
29	1.372294
30	1.337016
31	1.322533
32	1.315338
33	1.30766
34	1.289554
35	1.277946
36	1.266123
37	1.265495
38	1.261196
39	1.248954
40	1.237365
41	1.215337
42	1.199901
43	1.193512
44	1.183832
45	1.178136
46	1.168458
47	1.159514
48	1.146837
49	1.141095
50	1.135195
51	1.144043
52	1.122319
53	1.094956
54	1.070163
55	1.049254
56	1.035581
57	1.025606
58	1.01133
59	0.998076
60	0.984441
61	0.974282
62	0.966831
63	0.968605
64	0.950675
65	0.940574
66	0.931616
67	0.924477
68	0.916473
69	0.899006
70	0.88064
71	0.85845
72	0.841638
73	0.829363
74	0.825696
75	0.824062
76	0.818248
77	0.812911
78	0.806663
79	0.809203
80	0.796647
81	0.770278
82	0.746652
83	0.725155
84	0.710117
85	0.699376
86	0.685767
87	0.667183
88	0.653626
89	0.635165
90	0.605218
91	0.561899
92	0.518328
93	0.476191
94	0.431863
95	0.374374
96	0.314078
97	0.255282
98	0.17873
99	0.100598
100	0.047368

