## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-15_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-15_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 02:13:20 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
7700619953	7631382757		3698846172	2603353641	1125730375	203452569	0	0	0	99700	18648121	1445276	0.005318	0.994682		0.484689	0.341138	0.147513	0.02666	0.825827	0.818402	0	0.587028	0.377635	0.172677	1.838544			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.073039
1	0.188267
2	0.428704
3	0.651111
4	0.830309
5	0.965619
6	1.073112
7	1.16627
8	1.231886
9	1.274443
10	1.29952
11	1.32925
12	1.35189
13	1.371706
14	1.385454
15	1.392412
16	1.386224
17	1.388551
18	1.393517
19	1.388435
20	1.378385
21	1.365975
22	1.368276
23	1.386944
24	1.399651
25	1.398253
26	1.402967
27	1.382964
28	1.368784
29	1.352881
30	1.31534
31	1.308108
32	1.305875
33	1.300474
34	1.281667
35	1.270104
36	1.254986
37	1.25583
38	1.252633
39	1.238896
40	1.222218
41	1.201092
42	1.183733
43	1.179357
44	1.170438
45	1.166181
46	1.152398
47	1.143006
48	1.132951
49	1.134003
50	1.128288
51	1.133611
52	1.119043
53	1.100082
54	1.0797
55	1.06299
56	1.047598
57	1.036862
58	1.026242
59	1.008251
60	0.988906
61	0.979244
62	0.969953
63	0.967599
64	0.9524
65	0.943068
66	0.937526
67	0.933231
68	0.93494
69	0.920935
70	0.905757
71	0.891776
72	0.875583
73	0.861009
74	0.85837
75	0.853695
76	0.838785
77	0.826569
78	0.821252
79	0.82808
80	0.819168
81	0.787833
82	0.761828
83	0.744015
84	0.734256
85	0.724891
86	0.703386
87	0.682931
88	0.674247
89	0.66167
90	0.637237
91	0.594925
92	0.550402
93	0.506313
94	0.460776
95	0.403863
96	0.342687
97	0.278307
98	0.200559
99	0.119364
100	0.056433

