## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-5_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-5_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 07:29:47 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10610409608	10508310734		4781340872	3237623985	2149420199	339925678	0	0	0	141682	24033571	1702587	0.005861	0.994139		0.455006	0.308101	0.204545	0.032348	0.763107	0.755764	0	0.641999	0.372038	0.151782	2.038633			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.07971
1	0.200458
2	0.440053
3	0.65408
4	0.828368
5	0.97002
6	1.095237
7	1.185724
8	1.248657
9	1.28136
10	1.306565
11	1.32672
12	1.350343
13	1.355452
14	1.369716
15	1.380487
16	1.373708
17	1.372892
18	1.382788
19	1.382165
20	1.367574
21	1.350457
22	1.353767
23	1.379341
24	1.391546
25	1.393295
26	1.408262
27	1.391931
28	1.376733
29	1.361907
30	1.327698
31	1.307008
32	1.297275
33	1.302225
34	1.289487
35	1.275455
36	1.260724
37	1.258966
38	1.251464
39	1.236992
40	1.228251
41	1.209962
42	1.1982
43	1.196934
44	1.190694
45	1.182915
46	1.165815
47	1.153283
48	1.148375
49	1.150108
50	1.147692
51	1.153077
52	1.127924
53	1.096144
54	1.066363
55	1.046158
56	1.035814
57	1.025927
58	1.014005
59	1.003919
60	0.995288
61	0.987532
62	0.982825
63	0.977854
64	0.957355
65	0.948425
66	0.938342
67	0.931124
68	0.924111
69	0.907007
70	0.889999
71	0.869284
72	0.854196
73	0.844265
74	0.841212
75	0.836838
76	0.828487
77	0.822267
78	0.818969
79	0.828865
80	0.822067
81	0.797786
82	0.772455
83	0.751872
84	0.735219
85	0.722007
86	0.705221
87	0.684947
88	0.675096
89	0.66087
90	0.632973
91	0.592906
92	0.550131
93	0.507199
94	0.457683
95	0.397528
96	0.336075
97	0.274179
98	0.192426
99	0.109129
100	0.049527

