## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-6_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-6_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 07:50:01 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8260576455	8174111309		3709902437	2656385232	1536226623	271597017	0	0	0	125771	18826806	1643273	0.006636	0.993364		0.45386	0.324975	0.187938	0.033226	0.778835	0.770683	0	0.592795	0.405216	0.173843	2.117928			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.085923
1	0.206076
2	0.448413
3	0.672937
4	0.858013
5	1.00279
6	1.128372
7	1.222869
8	1.278872
9	1.308006
10	1.325923
11	1.348123
12	1.378129
13	1.381499
14	1.394845
15	1.398431
16	1.39
17	1.385525
18	1.389916
19	1.387451
20	1.372889
21	1.357274
22	1.359937
23	1.38203
24	1.386765
25	1.380907
26	1.381041
27	1.359462
28	1.343449
29	1.328296
30	1.297502
31	1.280779
32	1.273514
33	1.273272
34	1.260724
35	1.25069
36	1.2426
37	1.234968
38	1.225599
39	1.214615
40	1.212426
41	1.200462
42	1.184978
43	1.181179
44	1.171665
45	1.165096
46	1.151454
47	1.142249
48	1.139854
49	1.141529
50	1.14113
51	1.139422
52	1.115428
53	1.085912
54	1.060458
55	1.044634
56	1.03118
57	1.02121
58	1.004111
59	0.989523
60	0.981051
61	0.976476
62	0.974263
63	0.972325
64	0.956564
65	0.9455
66	0.938664
67	0.932723
68	0.923678
69	0.905261
70	0.894095
71	0.879746
72	0.868458
73	0.857952
74	0.853453
75	0.848964
76	0.83907
77	0.833565
78	0.832433
79	0.839203
80	0.823882
81	0.797659
82	0.773049
83	0.75856
84	0.747537
85	0.737181
86	0.720296
87	0.700065
88	0.689307
89	0.670114
90	0.64058
91	0.59626
92	0.550223
93	0.507471
94	0.460788
95	0.402188
96	0.342003
97	0.279303
98	0.195572
99	0.109643
100	0.050297

