## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-14_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-14_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 01:53:09 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10299884314	10209620012		5113531592	3394000941	1395276040	306811439	0	0	0	123081	25706183	1482890	0.004765	0.995235		0.500854	0.332432	0.136663	0.030051	0.833286	0.825983	0	0.512372	0.422778	0.193406	1.952496			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.074754
1	0.186448
2	0.412525
3	0.62031
4	0.803395
5	0.951805
6	1.074897
7	1.162513
8	1.225143
9	1.255493
10	1.279347
11	1.309671
12	1.335229
13	1.347046
14	1.360437
15	1.376025
16	1.377093
17	1.377476
18	1.377109
19	1.374177
20	1.365406
21	1.355312
22	1.355757
23	1.371385
24	1.377567
25	1.378407
26	1.382139
27	1.364404
28	1.356212
29	1.342566
30	1.315488
31	1.305299
32	1.303304
33	1.298369
34	1.282605
35	1.270008
36	1.256043
37	1.246363
38	1.238363
39	1.226969
40	1.212721
41	1.198598
42	1.184589
43	1.180977
44	1.172751
45	1.168739
46	1.158942
47	1.151382
48	1.139589
49	1.136449
50	1.129386
51	1.127544
52	1.115121
53	1.098447
54	1.083107
55	1.073742
56	1.057668
57	1.043554
58	1.030471
59	1.015829
60	1.001406
61	0.995676
62	0.987827
63	0.981872
64	0.96627
65	0.956864
66	0.949342
67	0.93952
68	0.933222
69	0.917806
70	0.905504
71	0.891266
72	0.878269
73	0.867494
74	0.864279
75	0.857009
76	0.847203
77	0.843159
78	0.840609
79	0.835763
80	0.821925
81	0.804797
82	0.78604
83	0.764313
84	0.749577
85	0.7374
86	0.719686
87	0.698994
88	0.688723
89	0.673701
90	0.647822
91	0.609055
92	0.567687
93	0.526483
94	0.478953
95	0.417099
96	0.355322
97	0.289015
98	0.203936
99	0.114799
100	0.051264

