## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-13_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-13_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 01:34:19 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
11131303638	11037071064		4395900793	3252007238	3020980408	368182625	0	0	0	144557	22629756	1540020	0.006347	0.993653		0.398285	0.294644	0.273712	0.033359	0.692929	0.687063	0	0.650583	0.327056	0.158354	1.97999			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.070771
1	0.179824
2	0.416015
3	0.634106
4	0.804133
5	0.93482
6	1.043114
7	1.134643
8	1.21177
9	1.247825
10	1.270348
11	1.295181
12	1.318172
13	1.338638
14	1.351523
15	1.357491
16	1.357362
17	1.357464
18	1.365123
19	1.365538
20	1.363268
21	1.356082
22	1.362539
23	1.387651
24	1.401042
25	1.401042
26	1.405261
27	1.388209
28	1.382381
29	1.375312
30	1.34291
31	1.339665
32	1.335073
33	1.335133
34	1.322355
35	1.302275
36	1.283013
37	1.27911
38	1.272059
39	1.257586
40	1.24264
41	1.224695
42	1.210095
43	1.202824
44	1.19248
45	1.189001
46	1.176549
47	1.167164
48	1.15324
49	1.153761
50	1.147718
51	1.152237
52	1.132772
53	1.10898
54	1.088936
55	1.070177
56	1.048708
57	1.03346
58	1.020678
59	1.005548
60	0.987074
61	0.983253
62	0.978269
63	0.979083
64	0.964019
65	0.957637
66	0.953235
67	0.944139
68	0.941732
69	0.924333
70	0.910969
71	0.897202
72	0.880463
73	0.865189
74	0.86334
75	0.855499
76	0.842111
77	0.829748
78	0.81965
79	0.823801
80	0.815621
81	0.780226
82	0.749295
83	0.729606
84	0.715236
85	0.70596
86	0.68638
87	0.668125
88	0.662383
89	0.653939
90	0.628037
91	0.585849
92	0.54175
93	0.500619
94	0.454982
95	0.396113
96	0.333022
97	0.272125
98	0.195443
99	0.116725
100	0.057571

