## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-16_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-16_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 02:26:32 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10412440907	10325455953		4868766955	3540289924	1598110869	318288205	0	0	0	135490	24956464	1670366	0.0054	0.9946		0.47153	0.34287	0.154774	0.030826	0.814401	0.807597	0	0.57571	0.37733	0.176936	2.012844			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.077307
1	0.186555
2	0.403705
3	0.602718
4	0.773376
5	0.91101
6	1.035603
7	1.136547
8	1.209631
9	1.253337
10	1.285354
11	1.315868
12	1.344018
13	1.351905
14	1.365712
15	1.377772
16	1.380046
17	1.381602
18	1.383699
19	1.37746
20	1.364671
21	1.352316
22	1.361716
23	1.386118
24	1.395318
25	1.398988
26	1.407766
27	1.390181
28	1.372938
29	1.353172
30	1.317894
31	1.301233
32	1.298942
33	1.304713
34	1.290044
35	1.281278
36	1.273667
37	1.267828
38	1.254336
39	1.242632
40	1.235451
41	1.222576
42	1.202913
43	1.194849
44	1.18333
45	1.174448
46	1.159788
47	1.148719
48	1.1416
49	1.142841
50	1.139289
51	1.134855
52	1.120177
53	1.097
54	1.07495
55	1.062204
56	1.04461
57	1.03257
58	1.021533
59	1.009773
60	0.999588
61	0.990505
62	0.982697
63	0.978158
64	0.964633
65	0.958098
66	0.951703
67	0.939557
68	0.93005
69	0.913971
70	0.900617
71	0.888811
72	0.876702
73	0.868251
74	0.86162
75	0.852737
76	0.840034
77	0.834666
78	0.831315
79	0.824954
80	0.808274
81	0.792506
82	0.77443
83	0.758493
84	0.746959
85	0.737964
86	0.722998
87	0.703091
88	0.692373
89	0.675372
90	0.645159
91	0.603772
92	0.559036
93	0.516809
94	0.472028
95	0.41388
96	0.350987
97	0.286387
98	0.200507
99	0.110401
100	0.047493

